CustomerID,First_Name,Last_Name,Phone_Number,Address,Extra_Address_Info,Paying Customer,Do_Not_Contact
1001,Frodo,Baggins,123-545-5421,123 Shire Lane,Shire,Yes,No
1002,Abed,Nadir,123-643-9775,93 West Main Street,No Extra Information,No,Yes
1004,Dwight,Schrute,123-543-2345,980 Paper Avenue,Pennsylvania,Yes,Yes
1005,Jon,Snow,876-678-3469,123 Dragons Road,No Extra Information,Yes,No
1006,Ron,Swanson,304-762-2467,768 City Parkway,No Extra Information,Yes,Yes
1008,Sherlock,Holmes,876-678-3469,98 Clue Drive,No Extra Information,No,No
1010,Peter,Parker,123-545-5421,25th Main Street,New York,Yes,No
1013,Don,Draper,123-543-2345,2039 Main Street,No Extra Information,Yes,No
1014,Leslie,Knope,876-678-3469,343 City Parkway,No Extra Information,Yes,No
1015,Toby,Flenderson,304-762-2467,214 HR Avenue,No Extra Information,No,No
1016,Ron,Weasley,123-545-5421,2395 Hogwarts Avenue,No Extra Information,No,No
1017,Michael ,Scott,123-643-9775,121 Paper Avenue,Pennsylvania,Yes,No
1020,Anakin,Skywalker,876-678-3469,910 Tatooine Road,Tatooine,Yes,No
1021,Nave,Goat,890-908-5678,D19 Kumbhi Flats,Lakhimpur,Yes,No
